,fight_id,round,FT_blue,SMA_blue,SUL_blue,GRC_blue,SGHL_blue,SSA_blue,KDL_blue,SGBA_blue,ST_blue,SGHA_blue,KOL_blue,TDL_blue,SGBL_blue,RVL_blue,SGA_blue,SSHL_blue,SSBA_blue,SSBL_blue,TDA_blue,SML_blue,SSHA_blue,FT_red,SMA_red,SUL_red,GRC_red,SGHL_red,SSA_red,KDL_red,SGBA_red,ST_red,SGHA_red,KOL_red,TDL_red,SGBL_red,RVL_red,SGA_red,SSHL_red,SSBA_red,SSBL_red,TDA_red,SML_red,SSHA_red,blue,red
3,6247,4,0,0,0,1,0,52,0,0,299,0,0,0,0,0,0,13,7,6,2,0,43,0,0,0,0,0,83,0,0,299,0,0,0,0,0,0,26,11,8,2,0,65,532,1815
4,6247,5,0,0,0,0,0,49,0,0,300,0,0,0,0,0,0,19,8,1,0,0,34,0,0,0,0,0,75,0,0,300,0,0,0,0,0,0,34,3,1,0,0,63,532,1815
0,6798,1,200,1,0,200,11,1,0,1,23,14,0,0,1,0,15,0,0,0,0,1,0,200,0,0,0,0,5,0,0,23,0,0,0,0,0,0,0,1,1,0,0,3,532,2047
0,9718,1,0,0,0,192,12,20,0,1,108,13,0,2,1,0,14,5,4,4,2,0,16,0,0,2,0,0,23,0,0,108,0,0,0,0,0,0,6,3,3,2,0,19,532,2375
1,9718,2,0,0,0,134,6,40,0,1,136,6,0,1,1,0,7,13,6,6,6,0,33,0,0,1,0,0,29,0,0,136,0,0,0,0,0,0,12,1,1,0,0,26,532,2375
2,9718,3,0,0,0,185,22,46,1,1,115,37,0,0,1,0,38,12,4,3,2,0,40,0,0,1,0,0,25,0,0,115,0,0,0,0,0,0,14,1,1,1,0,24,532,2375
3,9718,4,0,0,0,231,13,21,0,2,67,19,0,1,2,0,21,4,2,2,1,0,18,0,0,1,0,0,21,0,0,67,1,0,0,0,0,1,12,0,0,0,0,21,532,2375
4,9718,5,0,0,0,28,0,79,0,0,272,0,0,1,0,0,0,32,3,3,4,0,73,0,0,1,0,0,73,0,0,272,0,0,0,0,0,0,33,6,3,0,0,67,532,2375
0,11569,1,0,0,1,0,0,13,0,0,63,0,0,0,0,0,0,2,1,1,0,0,10,0,0,0,27,5,24,1,0,63,6,1,1,0,0,6,7,3,3,1,0,18,532,2963
0,9859,1,0,0,0,0,0,26,0,0,172,0,0,0,0,0,0,5,3,2,2,0,19,0,0,0,0,0,41,0,0,172,0,0,0,0,0,0,8,15,6,0,0,26,532,3078
